Project Name (Repository Name),Group Name,Group Depth,Last Activity At (JST),Created At (JST),Project URL
gitlab-org,1,gitlab-org/fulfillment-meta,2022-04-15 06:15:59,2019-01-31 07:54:36,https://gitlab.com/gitlab-org/fulfillment-meta
gitlab-org,1,gitlab-org/technical-writing,2022-04-15 08:30:56,2019-01-31 00:36:52,https://gitlab.com/gitlab-org/technical-writing
gitlab-org,1,gitlab-org/test-repo-for-go-elasticsearch-indexer,2021-10-02 06:24:47,2018-12-21 04:23:19,https://gitlab.com/gitlab-org/test-repo-for-go-elasticsearch-indexer
gitlab-org,1,gitlab-org/create-stage,2022-04-15 09:08:29,2018-12-15 00:15:30,https://gitlab.com/gitlab-org/create-stage
gitlab-org,1,gitlab-org/diversity-inclusion,2020-10-01 09:18:31,2018-12-06 00:21:51,https://gitlab.com/gitlab-org/diversity-inclusion
gitlab-org,1,gitlab-org/merge-train,2021-06-29 07:32:26,2018-11-19 23:05:13,https://gitlab.com/gitlab-org/merge-train
gitlab-org,1,gitlab-org/labkit,2022-04-15 09:16:05,2018-11-17 00:07:08,https://gitlab.com/gitlab-org/labkit
gitlab-org,1,gitlab-org/growthproject,2020-02-28 01:32:35,2018-10-31 22:48:14,https://gitlab.com/gitlab-org/growthproject
gitlab-org,1,gitlab-org/takeoff-ansible,2018-10-31 20:15:37,2018-10-31 01:53:09,https://gitlab.com/gitlab-org/takeoff-ansible
gitlab-org,1,gitlab-org/group-conversations,2019-05-22 00:27:49,2018-10-22 19:21:07,https://gitlab.com/gitlab-org/group-conversations
gitlab-org,1,gitlab-org/gitlab-eslint-config,2021-09-18 00:33:01,2018-10-03 08:34:26,https://gitlab.com/gitlab-org/gitlab-eslint-config
gitlab-org,1,gitlab-org/sidekiq-reliable-fetch,2021-11-15 21:00:34,2018-09-13 18:08:59,https://gitlab.com/gitlab-org/sidekiq-reliable-fetch
gitlab-org,1,gitlab-org/nurtch-demo,2019-12-01 05:23:22,2018-09-12 17:17:27,https://gitlab.com/gitlab-org/nurtch-demo
gitlab-org,1,gitlab-org/async-retrospectives,2022-04-14 05:16:57,2018-08-14 21:16:18,https://gitlab.com/gitlab-org/async-retrospectives
gitlab-org,1,gitlab-org/gitlab-terminal,2022-03-27 06:15:48,2018-08-07 16:02:57,https://gitlab.com/gitlab-org/gitlab-terminal
gitlab-org,1,gitlab-org/backstage-changelog,2019-11-27 05:58:59,2018-07-24 02:19:31,https://gitlab.com/gitlab-org/backstage-changelog
gitlab-org,1,gitlab-org/jupyterhub-user-image,2019-10-03 06:30:33,2018-07-19 02:01:43,https://gitlab.com/gitlab-org/jupyterhub-user-image
gitlab-org,1,gitlab-org/cookbook-omnibus-gitlab,2022-02-15 01:04:06,2014-09-30 00:08:21,https://gitlab.com/gitlab-org/cookbook-omnibus-gitlab
gitlab-org,1,gitlab-org/golang-crypto,2022-01-30 20:15:13,2022-01-27 18:03:33,https://gitlab.com/gitlab-org/golang-crypto
gitlab-org,1,gitlab-org/grape-path-helpers,2022-04-04 19:21:46,2018-04-25 07:24:42,https://gitlab.com/gitlab-org/grape-path-helpers
gitlab-org,1,gitlab-org/gitlab-gollum-rugged_adapter,2021-09-16 02:56:17,2018-04-11 20:19:03,https://gitlab.com/gitlab-org/gitlab-gollum-rugged_adapter
gitlab-org,1,gitlab-org/gitlab-gollum-lib,2018-04-11 20:18:55,2018-04-11 20:18:55,https://gitlab.com/gitlab-org/gitlab-gollum-lib
gitlab-org,1,gitlab-org/gitlab-pages-proto,2018-04-05 19:12:01,2018-04-05 19:12:01,https://gitlab.com/gitlab-org/gitlab-pages-proto
gitlab-org,1,gitlab-org/omnibus-gitlab,2022-04-15 15:41:48,2013-12-02 21:36:52,https://gitlab.com/gitlab-org/omnibus-gitlab
gitlab-org,1,gitlab-org/lever-jobs-embed,2020-11-07 05:13:12,2018-02-10 06:09:45,https://gitlab.com/gitlab-org/lever-jobs-embed
gitlab-org,1,gitlab-org/gitlab-vscode-extension,2022-04-14 22:57:50,2018-01-25 09:56:33,https://gitlab.com/gitlab-org/gitlab-vscode-extension
